Repositório,Estrelas,Pull Requests,Estado PR,Número PR,Data de Criação PR,Data de Fechamento PR,Data de Merge PR,Intervalo Criação e Última Atividade,Status Revisão,Revisões,Arquivos Alterados,Linhas Adicionadas,Linhas Excluídas,Caracteres Corpo PR,Participantes PR,Comentários PR
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54324,2024-04-08 13:26:20+00:00,2024-04-09 05:52:09+00:00,2024-04-09 05:52:09+00:00,16.43,APPROVED,2,3000,104539,9017,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54323,2024-04-08 12:25:15+00:00,2024-04-08 15:57:23+00:00,2024-04-08 15:57:23+00:00,3.54,APPROVED,3,12,95,49,45,4,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54322,2024-04-08 09:44:06+00:00,2024-04-08 17:35:30+00:00,2024-04-08 17:35:30+00:00,7.86,APPROVED,2,129,176,8920,369,3,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54318,2024-04-07 02:57:02+00:00,2024-04-07 06:46:40+00:00,0,3.83,REVIEW_REQUIRED,0,2,2,1,288,2,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54317,2024-04-06 23:09:47+00:00,2024-04-08 06:43:27+00:00,0,31.56,CHANGES_REQUESTED,1,1,2,2,355,3,5
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54315,2024-04-06 02:31:51+00:00,2024-04-09 03:05:47+00:00,0,72.57,REVIEW_REQUIRED,1,20,21,20,288,4,2
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54314,2024-04-05 23:29:49+00:00,2024-04-06 00:29:21+00:00,0,0.99,0,0,3000,343789,20092,284,30,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54309,2024-04-05 16:16:24+00:00,2024-04-05 18:26:30+00:00,2024-04-05 18:26:30+00:00,2.17,APPROVED,2,1,3,14,369,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54308,2024-04-05 14:53:27+00:00,2024-04-08 18:27:42+00:00,2024-04-08 18:27:42+00:00,75.57,APPROVED,2,6,29,6,535,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54307,2024-04-05 14:25:21+00:00,2024-04-09 05:51:48+00:00,2024-04-09 05:51:48+00:00,87.44,APPROVED,4,19,21,21,284,4,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54306,2024-04-05 03:21:39+00:00,2024-04-08 03:11:50+00:00,0,71.84,REVIEW_REQUIRED,0,19,20,20,284,2,3
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54300,2024-04-04 14:10:41+00:00,2024-04-04 15:13:55+00:00,2024-04-04 15:13:54+00:00,1.05,APPROVED,2,1,2,2,387,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54299,2024-04-04 12:43:39+00:00,2024-04-11 08:10:03+00:00,2024-04-11 08:10:03+00:00,163.44,APPROVED,2,1,2,8,483,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54298,2024-04-04 11:52:31+00:00,2024-04-04 13:32:06+00:00,2024-04-04 13:32:06+00:00,1.66,APPROVED,2,1,9,6,446,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54297,2024-04-04 11:30:55+00:00,2024-04-04 12:07:51+00:00,0,0.62,REVIEW_REQUIRED,0,3,16,23,366,1,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54295,2024-04-04 10:46:17+00:00,2024-04-12 15:25:37+00:00,0,196.66,REVIEW_REQUIRED,0,1,2,1,367,2,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54293,2024-04-04 07:24:02+00:00,2024-04-04 15:29:11+00:00,0,8.09,REVIEW_REQUIRED,0,18,177,88,334,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54292,2024-04-04 00:56:01+00:00,2024-04-05 18:25:30+00:00,2024-04-05 18:25:30+00:00,41.49,APPROVED,3,55,2130,177,561,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54290,2024-04-03 16:28:29+00:00,2024-04-03 16:32:20+00:00,0,0.06,REVIEW_REQUIRED,0,1,1,1,284,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54289,2024-04-03 14:56:50+00:00,2024-04-03 17:39:03+00:00,2024-04-03 17:39:03+00:00,2.7,APPROVED,4,9,55,177,394,4,3
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54288,2024-04-03 14:34:34+00:00,2024-04-05 14:24:33+00:00,2024-04-05 14:24:33+00:00,47.83,APPROVED,7,90,4175,266,491,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54287,2024-04-03 13:15:38+00:00,2024-04-04 12:57:25+00:00,2024-04-04 12:57:25+00:00,23.7,APPROVED,5,281,932,712,45,4,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54286,2024-04-03 12:25:43+00:00,2024-04-03 13:48:17+00:00,2024-04-03 13:48:17+00:00,1.38,APPROVED,2,2,24,24,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54284,2024-04-03 03:57:26+00:00,2024-04-03 07:13:07+00:00,2024-04-03 07:13:07+00:00,3.26,APPROVED,2,1,3,3,300,4,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54283,2024-04-03 03:50:52+00:00,2024-04-04 07:37:02+00:00,2024-04-04 07:37:02+00:00,27.77,APPROVED,2,4,26,396,300,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54281,2024-04-03 01:50:56+00:00,2024-04-04 05:40:30+00:00,2024-04-04 05:40:30+00:00,27.83,APPROVED,2,1,5,0,300,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54280,2024-04-02 19:41:52+00:00,2024-04-03 05:01:38+00:00,2024-04-03 05:01:38+00:00,9.33,APPROVED,2,4,4,4,284,3,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54279,2024-04-02 16:14:13+00:00,2024-04-02 16:14:24+00:00,0,0.0,REVIEW_REQUIRED,0,1,0,1,284,1,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54278,2024-04-02 13:00:12+00:00,2024-04-11 08:03:08+00:00,2024-04-11 08:03:08+00:00,211.05,APPROVED,8,3,30,26,116,6,7
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54277,2024-04-02 11:10:43+00:00,2024-04-11 06:17:15+00:00,0,211.11,REVIEW_REQUIRED,0,5,99,118,281,1,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54276,2024-04-02 10:24:59+00:00,2024-04-05 06:49:33+00:00,2024-04-05 06:49:33+00:00,68.41,APPROVED,6,4,24,23,499,3,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54275,2024-04-02 10:19:53+00:00,2024-04-04 17:20:36+00:00,0,55.01,CHANGES_REQUESTED,1,3,14,3,284,4,2
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54269,2024-04-01 19:22:43+00:00,2024-04-01 19:31:08+00:00,0,0.14,REVIEW_REQUIRED,0,1,3,1,329,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54268,2024-04-01 16:43:22+00:00,2024-04-02 06:19:24+00:00,2024-04-02 06:19:24+00:00,13.6,APPROVED,2,2248,81224,2002,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54267,2024-04-01 16:28:19+00:00,2024-04-01 17:19:07+00:00,2024-04-01 17:19:07+00:00,0.85,APPROVED,2,1,1,1,284,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54266,2024-04-01 15:35:14+00:00,2024-04-01 16:00:43+00:00,2024-04-01 16:00:43+00:00,0.42,APPROVED,2,2,2,2,284,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54265,2024-04-01 12:25:51+00:00,2024-04-01 14:59:46+00:00,2024-04-01 14:59:46+00:00,2.57,APPROVED,2,4,36,36,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54264,2024-04-01 08:45:10+00:00,2024-04-03 04:24:07+00:00,2024-04-03 04:24:07+00:00,43.65,APPROVED,3,6,42,32,600,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54262,2024-04-01 05:21:55+00:00,2024-04-09 08:40:11+00:00,2024-04-09 08:40:11+00:00,195.3,APPROVED,3,1,9,3,288,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54261,2024-04-01 05:14:11+00:00,2024-04-03 16:16:08+00:00,2024-04-03 16:16:08+00:00,59.03,APPROVED,2,2,2,3,635,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54258,2024-03-31 18:34:51+00:00,2024-04-05 14:25:21+00:00,2024-04-05 14:25:21+00:00,115.84,APPROVED,2,129,1430,401,599,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54256,2024-03-30 19:11:01+00:00,2024-04-05 16:18:32+00:00,2024-04-05 16:18:32+00:00,141.13,APPROVED,6,13,1389,34,653,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54254,2024-03-29 20:44:40+00:00,2024-03-29 23:32:03+00:00,0,2.79,REVIEW_REQUIRED,0,1,1,1,412,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54253,2024-03-29 20:35:42+00:00,2024-03-29 23:30:18+00:00,2024-03-29 23:30:18+00:00,2.91,APPROVED,2,1,1,1,326,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54252,2024-03-29 20:26:35+00:00,2024-03-29 20:29:31+00:00,0,0.05,REVIEW_REQUIRED,0,1,1,1,384,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54251,2024-03-29 19:25:29+00:00,2024-03-29 20:27:52+00:00,2024-03-29 20:27:52+00:00,1.04,APPROVED,2,1,1,1,298,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54249,2024-03-29 17:00:57+00:00,2024-03-29 17:58:43+00:00,2024-03-29 17:58:43+00:00,0.96,APPROVED,2,1,1,1,297,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54244,2024-03-29 11:27:11+00:00,2024-04-12 19:41:12+00:00,2024-04-12 19:41:12+00:00,344.23,APPROVED,4,30,1550,17,265,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54242,2024-03-28 12:22:35+00:00,2024-03-28 12:31:45+00:00,0,0.15,REVIEW_REQUIRED,0,1,1,1,284,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54241,2024-03-28 12:15:07+00:00,2024-04-11 06:49:42+00:00,2024-04-11 06:49:41+00:00,330.58,APPROVED,2,12,0,507,302,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54240,2024-03-28 10:42:17+00:00,2024-04-12 19:07:32+00:00,2024-04-12 19:07:32+00:00,368.42,APPROVED,4,3,34,33,474,4,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54239,2024-03-28 10:06:23+00:00,2024-03-28 10:12:32+00:00,0,0.1,REVIEW_REQUIRED,0,1,1,1,284,2,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54238,2024-03-28 08:31:42+00:00,2024-03-28 09:20:04+00:00,2024-03-28 09:20:04+00:00,0.81,REVIEW_REQUIRED,1,1,1,1,284,2,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54237,2024-03-28 05:41:39+00:00,2024-03-28 07:26:29+00:00,2024-03-28 07:26:29+00:00,1.75,APPROVED,2,1,3,3,552,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54236,2024-03-27 22:31:31+00:00,2024-03-27 22:33:57+00:00,0,0.04,REVIEW_REQUIRED,0,2,132,250,452,1,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54235,2024-03-27 19:12:05+00:00,2024-03-28 04:00:22+00:00,2024-03-28 04:00:22+00:00,8.8,APPROVED,2,1,1,1,390,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54233,2024-03-27 17:09:19+00:00,2024-04-01 10:10:48+00:00,2024-04-01 10:10:48+00:00,113.02,APPROVED,2,2,13,31,284,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54231,2024-03-27 12:49:26+00:00,2024-04-08 15:11:19+00:00,2024-04-08 15:11:19+00:00,290.36,APPROVED,6,85,740,334,1390,4,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54230,2024-03-27 12:25:42+00:00,2024-03-27 15:52:18+00:00,2024-03-27 15:52:17+00:00,3.44,APPROVED,2,13,118,63,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54229,2024-03-27 11:12:23+00:00,2024-03-27 11:19:47+00:00,0,0.12,REVIEW_REQUIRED,0,1,17,0,284,2,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54228,2024-03-27 07:56:50+00:00,2024-03-27 14:39:31+00:00,2024-03-27 14:39:31+00:00,6.71,APPROVED,2,1,3,1,700,3,2
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54227,2024-03-27 04:59:23+00:00,2024-03-27 05:57:14+00:00,0,0.96,REVIEW_REQUIRED,0,1,3,1,280,2,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54225,2024-03-26 20:30:03+00:00,2024-03-28 09:14:21+00:00,2024-03-28 09:14:21+00:00,36.74,APPROVED,3,1,1,1,284,4,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54223,2024-03-26 16:08:03+00:00,2024-03-26 17:42:09+00:00,0,1.57,REVIEW_REQUIRED,0,1,1,1,1063,2,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54222,2024-03-26 14:01:44+00:00,2024-03-27 07:56:09+00:00,0,17.91,REVIEW_REQUIRED,0,4,28,15,356,3,6
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54220,2024-03-26 10:17:39+00:00,2024-04-03 00:07:02+00:00,2024-04-03 00:07:02+00:00,181.82,APPROVED,3,2,1,8,470,4,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54218,2024-03-26 09:15:42+00:00,2024-03-28 09:54:30+00:00,2024-03-28 09:54:30+00:00,48.65,APPROVED,4,3,58,6,284,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54217,2024-03-26 09:12:32+00:00,2024-03-29 13:13:33+00:00,2024-03-29 13:13:33+00:00,76.02,APPROVED,7,1,1,2,521,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54216,2024-03-26 08:33:18+00:00,2024-03-26 18:04:23+00:00,2024-03-26 18:04:23+00:00,9.52,APPROVED,2,2,2,2,284,3,1
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54215,2024-03-26 07:27:35+00:00,2024-03-26 07:42:40+00:00,0,0.25,REVIEW_REQUIRED,0,1,3,3,284,1,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54212,2024-03-26 03:15:48+00:00,2024-03-27 10:35:09+00:00,2024-03-27 10:35:09+00:00,31.32,APPROVED,2,6,10,10,963,4,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54211,2024-03-26 00:52:56+00:00,2024-03-26 22:40:07+00:00,2024-03-26 22:40:07+00:00,21.79,APPROVED,4,1,1,1,284,5,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54210,2024-03-25 20:44:50+00:00,2024-03-26 10:04:34+00:00,2024-03-26 10:04:34+00:00,13.33,APPROVED,3,1,10,2,325,4,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54209,2024-03-25 17:27:43+00:00,2024-03-26 04:10:16+00:00,2024-03-26 04:10:16+00:00,10.71,APPROVED,2,1,0,1,284,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54208,2024-03-25 16:09:33+00:00,2024-03-25 17:55:25+00:00,2024-03-25 17:55:25+00:00,1.76,APPROVED,2,2,16,0,284,3,4
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54207,2024-03-25 15:31:30+00:00,2024-03-26 05:24:41+00:00,0,13.89,REVIEW_REQUIRED,0,1,10,2,564,3,1
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54206,2024-03-25 14:19:31+00:00,2024-03-25 14:57:14+00:00,2024-03-25 14:57:14+00:00,0.63,APPROVED,2,1,1,1,331,3,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54205,2024-03-25 14:08:25+00:00,2024-03-26 10:02:35+00:00,2024-03-26 10:02:35+00:00,19.9,APPROVED,3,8,23,14,281,4,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54203,2024-03-25 12:25:29+00:00,2024-03-25 13:25:53+00:00,2024-03-25 13:25:53+00:00,1.01,APPROVED,3,22,176,44,45,3,0
freeCodeCamp/freeCodeCamp,387445,35868,CLOSED,54202,2024-03-25 12:23:54+00:00,2024-03-25 13:45:38+00:00,0,1.36,REVIEW_REQUIRED,0,8,14,14,280,1,0
freeCodeCamp/freeCodeCamp,387445,35868,MERGED,54201,2024-03-25 06:47:18+00:00,2024-04-12 18:14:17+00:00,2024-04-12 18:14:16+00:00,443.45,APPROVED,3,1,5,5,536,5,2
EbookFoundation/free-programming-books,319341,9866,MERGED,11119,2024-04-11 20:27:44+00:00,2024-04-12 20:34:36+00:00,2024-04-12 20:34:36+00:00,24.11,0,3,1,1,0,947,3,2
EbookFoundation/free-programming-books,319341,9866,CLOSED,11118,2024-04-08 19:11:31+00:00,2024-04-09 18:04:09+00:00,0,22.88,0,0,1,1,1,630,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11116,2024-04-05 19:03:20+00:00,2024-04-10 12:37:13+00:00,2024-04-10 12:37:13+00:00,113.56,0,5,1,13,3,819,2,3
EbookFoundation/free-programming-books,319341,9866,MERGED,11115,2024-04-05 07:08:00+00:00,2024-04-10 12:36:04+00:00,2024-04-10 12:36:04+00:00,125.47,CHANGES_REQUESTED,7,1,4,1,91,2,2
EbookFoundation/free-programming-books,319341,9866,MERGED,11113,2024-03-30 11:29:53+00:00,2024-04-01 19:44:25+00:00,2024-04-01 19:44:25+00:00,56.24,0,4,1,1,1,2488,3,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11112,2024-03-30 11:29:49+00:00,2024-04-01 19:49:13+00:00,2024-04-01 19:49:13+00:00,56.32,0,1,1,1,1,7437,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11109,2024-03-26 13:12:10+00:00,2024-03-26 19:23:52+00:00,2024-03-26 19:23:52+00:00,6.2,0,0,1,2,2,576,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11108,2024-03-26 12:59:14+00:00,2024-03-26 19:22:57+00:00,2024-03-26 19:22:57+00:00,6.4,0,0,1,6,0,748,2,2
EbookFoundation/free-programming-books,319341,9866,CLOSED,11105,2024-03-23 11:47:46+00:00,2024-03-30 11:29:53+00:00,0,167.7,0,1,1,1,1,5187,1,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11104,2024-03-22 18:18:15+00:00,2024-03-24 21:49:22+00:00,2024-03-24 21:49:22+00:00,51.52,0,0,1,6,0,621,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11103,2024-03-19 18:40:13+00:00,2024-03-24 21:45:06+00:00,2024-03-24 21:45:06+00:00,123.08,0,0,1,79,18,1142,2,4
EbookFoundation/free-programming-books,319341,9866,MERGED,11100,2024-03-16 11:21:07+00:00,2024-03-18 00:24:06+00:00,2024-03-18 00:24:06+00:00,37.05,0,1,1,1,1,6223,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11099,2024-03-15 22:32:39+00:00,2024-03-16 20:34:48+00:00,2024-03-16 20:34:48+00:00,22.04,0,0,1,0,1,611,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11098,2024-03-14 09:16:20+00:00,2024-03-14 15:31:05+00:00,2024-03-14 15:31:05+00:00,6.25,0,0,1,1,1,843,2,1
EbookFoundation/free-programming-books,319341,9866,CLOSED,11096,2024-03-12 13:40:32+00:00,2024-03-12 13:41:23+00:00,0,0.01,0,0,1,1,0,632,1,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11095,2024-03-10 18:14:29+00:00,2024-03-12 16:42:00+00:00,2024-03-12 16:42:00+00:00,46.46,0,1,1,1,1,217,2,1
EbookFoundation/free-programming-books,319341,9866,CLOSED,11093,2024-03-09 11:42:23+00:00,2024-03-16 11:21:10+00:00,0,167.65,0,0,1,1,1,6942,0,1
EbookFoundation/free-programming-books,319341,9866,CLOSED,11090,2024-03-07 16:30:53+00:00,2024-03-08 15:22:33+00:00,0,22.86,0,0,1,1,0,698,2,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11088,2024-03-06 19:03:51+00:00,2024-03-08 15:16:26+00:00,2024-03-08 15:16:26+00:00,44.21,0,0,1,1,0,791,2,3
EbookFoundation/free-programming-books,319341,9866,MERGED,11087,2024-03-06 03:24:03+00:00,2024-03-06 14:54:48+00:00,2024-03-06 14:54:48+00:00,11.51,0,0,1,1,0,149,2,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11086,2024-03-05 05:57:32+00:00,2024-03-06 14:52:18+00:00,2024-03-06 14:52:17+00:00,32.91,CHANGES_REQUESTED,1,1,10,4,0,2,2
EbookFoundation/free-programming-books,319341,9866,MERGED,11085,2024-03-05 03:18:59+00:00,2024-03-05 18:52:03+00:00,2024-03-05 18:52:03+00:00,15.55,0,0,1,1,0,0,2,2
EbookFoundation/free-programming-books,319341,9866,CLOSED,11084,2024-03-05 02:51:31+00:00,2024-03-06 01:30:17+00:00,0,22.65,0,2,1,1,0,0,2,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11083,2024-03-04 12:41:33+00:00,2024-03-04 15:12:24+00:00,2024-03-04 15:12:24+00:00,2.51,0,0,1,1,1,630,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11082,2024-03-04 10:31:42+00:00,2024-03-05 18:56:15+00:00,2024-03-05 18:56:15+00:00,32.41,CHANGES_REQUESTED,1,1,7,0,0,2,4
EbookFoundation/free-programming-books,319341,9866,MERGED,11081,2024-03-03 20:57:23+00:00,2024-03-04 15:05:24+00:00,2024-03-04 15:05:24+00:00,18.13,0,0,1,1,0,644,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11080,2024-03-03 03:29:10+00:00,2024-03-04 15:04:00+00:00,2024-03-04 15:04:00+00:00,35.58,0,1,1,1,0,786,2,3
EbookFoundation/free-programming-books,319341,9866,CLOSED,11079,2024-03-02 11:58:49+00:00,2024-03-09 11:42:27+00:00,0,167.73,0,0,1,1,1,4484,0,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11078,2024-02-29 08:03:44+00:00,2024-02-29 17:24:47+00:00,2024-02-29 17:24:47+00:00,9.35,0,0,1,1,0,0,2,0
EbookFoundation/free-programming-books,319341,9866,MERGED,11077,2024-02-28 06:32:41+00:00,2024-02-28 15:43:06+00:00,2024-02-28 15:43:06+00:00,9.17,0,0,1,1,0,0,2,1
EbookFoundation/free-programming-books,319341,9866,MERGED,11076,2024-02-28 02:23:40+00:00,2024-02-28 15:25:35+00:00,2024-02-28 15:25:35+00:00,13.03,0,0,1,3,2,0,2,3
EbookFoundation/free-programming-books,319341,9866,MERGED,11074,2024-02-27 07:43:28+00:00,2024-02-27 17:43:49+00:00,2024-02-27 17:43:49+00:00,10.01,0,0,1,6,0,20,2,2
